date_time,price_usd,srch_booking_window,srch_saturday_night_bool
1370148,2013-05-27 16:23:31,118.0,3,1
1370827,2013-03-12 16:32:24,138.0,17,1
1374509,2013-05-25 21:31:49,182.0,6,1
1375412,2012-12-11 08:15:00,273.0,29,0
1375660,2013-06-18 08:43:31,282.0,87,1
1379870,2013-01-31 00:13:09,118.0,6,0
1386510,2013-03-13 21:42:29,76.0,15,1
1391000,2013-06-13 16:51:46,74.0,20,0
1395492,2013-01-17 12:50:25,112.0,2,1
1396004,2013-02-13 10:14:44,118.0,44,1
1400290,2012-11-26 08:18:53,102.0,3,1
1402861,2013-06-08 11:23:03,114.0,41,1
1408614,2012-11-26 10:44:12,121.0,4,1
1408816,2013-02-01 22:31:23,102.0,1,1
1410927,2012-12-24 20:57:02,62.0,11,1
1414072,2012-12-11 14:06:32,64.0,24,1
1414137,2013-03-01 12:12:46,66.0,2,0
1417418,2013-06-14 10:14:16,192.0,6,1
1421129,2013-05-21 14:23:52,96.0,50,0
1424000,2012-11-01 19:59:06,60.0,51,1
1429960,2013-03-06 10:44:04,90.0,11,0
1430113,2013-06-11 16:28:21,129.0,9,1
1434668,2012-11-22 14:05:02,50.0,2,1
1438026,2013-05-01 13:51:31,50.0,0,0
1443473,2013-06-19 15:01:16,134.0,7,0
1444904,2013-02-08 13:55:22,97.0,48,1
1460054,2013-05-14 19:56:30,536.0,0,0
1464551,2013-06-06 12:16:28,58.0,12,0
1465463,2012-11-28 08:54:39,84.0,8,1
1467273,2013-04-19 07:25:31,107.0,21,1
1467526,2013-06-19 21:02:42,91.0,31,1
1470384,2012-12-21 17:16:12,273.0,9,0
1471828,2013-05-13 23:24:03,99.0,93,0
1472971,2013-04-16 23:48:36,125.0,16,1
1487651,2013-04-04 11:12:30,200.0,1,1
1490355,2012-12-03 12:19:28,71.0,40,1
1491698,2013-01-16 18:29:45,61.0,4,0
1492589,2012-12-04 20:55:35,109.0,24,1
1497169,2013-02-19 13:26:59,102.0,21,0
1500117,2013-01-22 07:10:19,178.0,10,1
1504648,2013-05-01 21:45:48,163.0,9,1
1508037,2013-03-20 06:40:30,78.0,267,1
1510453,2012-12-28 14:24:39,104.0,68,0
1515790,2013-01-13 11:41:22,111.0,5,1
1518862,2013-03-06 14:38:57,144.0,36,1
1522244,2012-11-11 11:01:35,46.0,10,0
1522311,2013-01-25 16:01:26,59.0,37,0
1525527,2013-05-29 15:19:00,222.53,23,1
1529113,2013-01-08 18:00:58,90.0,214,1
1531402,2013-01-28 23:02:13,116.0,47,1
1532516,2013-05-24 18:45:51,105.0,8,1
1539218,2012-12-03 17:10:25,56.0,21,0
1540643,2012-12-24 01:28:14,135.0,4,1
1546791,2013-05-07 15:28:28,78.0,42,0
1549416,2013-02-09 10:55:23,152.0,57,0
1552303,2013-05-27 14:28:43,92.0,52,1
1556582,2013-02-13 12:08:24,89.0,121,1
1557231,2013-01-27 06:28:39,94.0,1,0
1557971,2012-11-08 19:11:35,178.0,1,1
1568691,2013-06-21 15:13:51,199.0,0,1
1583668,2013-01-06 12:36:12,131.0,96,1
1584348,2013-06-10 12:02:12,129.0,24,1
1585550,2013-05-30 19:42:51,118.0,63,1
1585651,2013-04-09 07:41:01,112.0,121,1
1586665,2013-03-06 05:13:25,108.0,64,1
1586886,2013-03-07 13:28:15,71.0,17,0
1590666,2013-04-11 22:23:25,106.0,6,0
1597719,2013-01-07 17:20:48,81.0,148,0
1600410,2013-01-22 09:36:25,74.0,49,0
1605906,2013-03-20 19:02:20,110.29,24,1
1606445,2012-11-20 14:29:35,46.0,0,0
1609387,2013-05-20 23:09:50,74.0,2,0
1610223,2013-01-10 08:54:41,64.0,20,0
1612926,2013-01-19 02:08:28,64.0,9,0
1613311,2013-01-02 12:01:27,100.0,167,0
1613349,2013-05-24 13:37:05,201.0,8,1
1614893,2013-02-28 09:47:10,148.0,225,1
1615370,2012-12-14 13:11:47,39.0,5,0
1615692,2013-06-19 21:00:49,115.0,30,1
1616688,2013-03-04 15:13:15,196.0,5,1
1617730,2013-05-11 11:49:21,141.0,90,1
1627949,2012-12-09 11:10:26,110.0,41,1
1633298,2012-11-07 23:22:54,46.0,13,0
1638048,2013-06-19 15:19:45,52.0,12,0
1639987,2012-12-31 08:25:26,425.0,0,0
1641253,2013-06-19 16:07:12,66.0,33,0
1645847,2013-01-13 21:00:26,62.0,23,0
1646705,2013-02-16 16:52:36,150.0,1,0
1654247,2012-12-26 18:11:07,133.0,3,1
1655210,2012-12-01 15:56:35,46.0,9,0
1661879,2013-02-06 12:41:08,118.0,16,1
1663223,2013-05-10 10:09:16,60.0,66,0
1666792,2013-02-08 19:53:12,190.0,1,1
1667985,2013-01-05 12:30:30,151.0,118,1
1669882,2012-11-08 15:04:23,46.0,12,0
1670924,2012-11-22 18:55:17,48.0,29,1
1676514,2013-04-02 09:28:53,208.0,3,1
1681363,2012-12-23 14:04:51,43.0,10,0
1691075,2013-05-03 12:49:25,109.0,19,0
1693575,2013-03-10 23:39:20,66.0,16,0
1693620,2013-06-26 06:29:15,62.0,11,0
1695333,2012-12-22 15:01:44,43.0,11,0
1700357,2013-02-11 16:35:05,115.0,11,1
1702107,2012-12-14 03:40:53,56.0,11,0
1705727,2013-03-05 16:38:20,71.0,22,0
1705936,2013-04-16 11:29:06,72.0,27,0
1706210,2012-11-30 12:25:20,66.0,44,0
1709529,2013-06-08 15:50:12,63.0,36,0
1716067,2013-05-17 18:41:03,58.0,44,0
1721854,2013-03-27 22:26:03,66.0,21,0
1725200,2012-12-03 12:13:58,77.0,41,0
1728236,2012-11-07 14:43:38,131.0,23,1
1729040,2013-02-12 14:31:26,150.0,4,1
1731711,2012-12-16 18:15:46,86.0,8,0
1740237,2013-06-29 21:09:46,72.0,44,0
1740664,2012-11-07 21:40:03,47.0,32,0
1741975,2012-11-30 22:42:31,75.0,51,0
1743840,2012-11-06 13:29:51,46.0,43,0
1743856,2012-11-17 07:27:16,56.0,36,0
1755262,2013-06-18 18:04:56,149.0,8,0
1763766,2013-02-07 22:28:29,61.0,171,0
1769501,2013-03-16 20:42:11,198.0,70,1
1770198,2013-04-17 10:00:04,116.0,35,0
1775080,2013-05-01 20:58:47,119.0,20,0
1789239,2012-12-23 11:08:40,84.0,39,1
1795324,2012-12-12 13:25:43,43.0,22,1
1797906,2013-04-12 09:51:30,174.0,42,1
1799076,2013-02-05 13:13:49,141.0,3,1
1802330,2013-03-04 12:05:47,133.0,5,1
1803655,2013-05-25 11:44:37,56.0,43,0
1805042,2012-12-21 06:06:08,56.0,0,1
1807677,2013-01-24 23:39:08,109.0,1,1
1816040,2013-05-03 16:46:03,140.0,35,1
1824675,2013-05-04 12:30:56,165.0,16,0
1826570,2013-03-18 19:07:14,106.0,103,1
1828773,2013-03-13 09:43:10,129.0,52,0
1828810,2013-02-15 11:38:50,67.0,45,0
1829956,2013-06-14 17:11:29,57.0,60,0
1830712,2013-01-06 18:53:51,140.0,76,1
1831170,2012-11-21 17:01:19,70.0,56,0
1831927,2013-06-19 15:22:27,103.0,124,0
1833223,2013-03-07 14:38:48,130.0,121,1
1834543,2013-05-03 17:29:22,50.0,124,0
1846894,2012-12-14 01:37:09,123.0,14,1
1849213,2013-06-24 20:44:23,50.0,64,0
1851014,2013-03-23 02:18:28,56.0,3,0
1852164,2012-11-04 14:50:34,76.0,20,1
1853523,2013-01-16 12:53:08,107.0,15,1
1856263,2012-11-05 18:36:01,127.0,25,1
1856362,2013-01-09 18:09:20,141.0,30,1
1856683,2013-05-22 19:30:48,142.0,16,1
1859516,2013-06-02 00:54:47,132.0,47,1
1863183,2013-05-08 18:15:01,45.0,19,0
1870298,2012-11-17 16:32:28,118.0,5,1
1873126,2013-05-22 21:05:49,159.0,4,0
1873802,2013-01-26 00:03:05,82.0,60,0
1874825,2012-12-30 18:59:11,121.0,19,1
1876954,2013-04-27 20:11:55,55.0,3,0
