show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,full_text,clean_text
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",,,,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows","Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?","TV Show. Vendetta: Truth, Lies and The Mafia. nan. nan. nan. September 24, 2021. 1 Season. 1 Season. Crime TV Shows, Docuseries, International TV Shows. Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",tv show vendetta truth lie mafia september season season crime tv show docuserie international tv show sicily boast bold anti mafia coalition happen try bring organize crime accuse criminal
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",,"September 23, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.","TV Show. Bangkok Breaking. Kongkiat Komesiri. Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul. nan. September 23, 2021. 1 Season. 1 Season. Crime TV Shows, International TV Shows, TV Action & Adventure. Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",tv show bangkok breaking kongkiat komesiri sukollawat kanarot sushar manaying pavarit mongkolpisit sahajak boonthanakit suthipongse thatphithakkul bhasaworn bawronkirati daweerit chullasapya waratthaya wongchayaporn kittiphoom wongpentak abhicha thanachanun nophand boonyai kittipong khamsat arisara wongchalee jaytiya naiwattanakul pantipa arunwattanachai panupan jantanawong kungtap saelim phumphat chartsuriyakiat issara veranitinunt keerati sivakuae panjai sirisuwan supranee charoenpol suda chuenban visaka banhansupavat pitchatorn santinatornkul september season season crime tv show international tv show tv action adventure struggle earn living bangkok man join emergency rescue service realize must unravel citywide conspiracy
s13,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","Germany, Czech Republic","September 23, 2021",2021,TV-MA,127 min,"Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.","Movie. Je Suis Karl. Christian Schwochow. Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová. Germany, Czech Republic. September 23, 2021. 127 min. 127 min. Dramas, International Movies. After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",movie je suis karl christian schwochow luna wedler jannis niewohner milan peschel edin hasanovic anna fialova marlon boess victor boccard fleur geffrier aziz dyab melanie fouche elizaveta maximova germany czech republic september min min dramas international movie family murder terrorist bombing young woman unknowingly lure join group kill
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",,"September 22, 2021",2021,TV-PG,91 min,"Children & Family Movies, Comedies","When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.","Movie. Confessions of an Invisible Girl. Bruno Garotti. Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo. nan. September 22, 2021. 91 min. 91 min. Children & Family Movies, Comedies. When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",movie confession invisible girl bruno garotti klara castanho lucca picon julia gome marcus bessa kiria malheiros fernanda concon gabriel lima caio cabral leonardo cidade jade cardozo september min min children family movie comedy clever socially awkward tete join new school anything fit queen bee among classmate idea
s15,TV Show,Crime Stories: India Detectives,,,,"September 22, 2021",2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,"TV Show. Crime Stories: India Detectives. nan. nan. nan. September 22, 2021. 1 Season. 1 Season. British TV Shows, Crime TV Shows, Docuseries. Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.",tv show crime story india detective september season season british tv show crime tv show docuserie camera follow bengaluru police job offer rare glimpse complex challenging inner working four major crime investigation
s16,TV Show,Dear White People,,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,"September 22, 2021",2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.","TV Show. Dear White People. nan. Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito. United States. September 22, 2021. 4 Seasons. 4 Seasons. TV Comedies, TV Dramas. Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",tv show dear white people logan browning brandon p bell deron horton antoinette robertson john patrick amedori ashley blaine featherson marque richardson giancarlo esposito united states september season season tv comedy tv drama student color navigate daily slight slippery politic life ivy league college not nearly post racial think
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",,,"September 22, 2021",2020,TV-MA,67 min,"Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.","Movie. Europe's Most Dangerous Man: Otto Skorzeny in Spain. Pedro de Echave García, Pablo Azorín Williams. nan. nan. September 22, 2021. 67 min. 67 min. Documentaries, International Movies. Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents.",movie europe dangerous man otto skorzeny spain pedro de echave garcia pablo azorin williams september min min documentary international movie declassified document reveal post wwii life otto skorzeny close hitler ally escape spain become adviser world president
s18,TV Show,Falsa identidad,,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,"September 22, 2021",2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,"TV Show. Falsa identidad. nan. Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas. Mexico. September 22, 2021. 2 Seasons. 2 Seasons. Crime TV Shows, Spanish-Language TV Shows, TV Dramas. Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.",tv show falsa identidad luis ernesto franco camila sodi sergio goyri samadhi zendejas eduardo yanez sonya smith alejandro camacho azela robinson uriel del toro geraldine bazan gabriela roel marcus ornellas mexico september season season crime tv show spanish language tv show tv drama stranger diego isabel flee home mexico pretend married couple escape drug deal enemy abusive husband
s19,Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",,"September 22, 2021",2021,TV-14,94 min,Thrillers,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.","Movie. Intrusion. Adam Salky. Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain. nan. September 22, 2021. 94 min. 94 min. Thrillers. After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",movie intrusion adam salky freida pinto logan marshall green robert john burke megan elisabeth kelly sarah minnich hayes hargrove mark sivertsen brandon fierro antonio valles clint obenchain september min min thriller deadly home invasion couple new dream house traumatized wife search answer learn real danger begin
s20,TV Show,Jaguar,,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",,"September 22, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.","TV Show. Jaguar. nan. Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski. nan. September 22, 2021. 1 Season. 1 Season. International TV Shows, Spanish-Language TV Shows, TV Action & Adventure. In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",tv show jaguar blanca suarez ivan marcos oscar casas adrian lastra francesc garrido stefan weinert julia moller alicia chojnowski september season season international tv show spanish language tv show tv action adventure holocaust survivor join group self train spy seek justice nazi flee spain hide wwii
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,,"September 22, 2021",2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.","TV Show. Monsters Inside: The 24 Faces of Billy Milligan. Olivier Megaton. nan. nan. September 22, 2021. 1 Season. 1 Season. Crime TV Shows, Docuseries, International TV Shows. In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",tv show monster inside face billy milligan olivi megaton september season season crime tv show docuserie international tv show late accuse serial rapist claim multiple personality control behavior set legal odyssey captivate america
s22,TV Show,Resurrection: Ertugrul,,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,"September 22, 2021",2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.","TV Show. Resurrection: Ertugrul. nan. Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı. Turkey. September 22, 2021. 5 Seasons. 5 Seasons. International TV Shows, TV Action & Adventure, TV Dramas. When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",tv show resurrection ertugrul engin altan duzyatan serdar gokhan hulya darcan kaan tasaner esra bilgic osman soykut serdar deniz cengiz coskun reshad strik hande subas turkey september season season international tv show tv action adventure tv drama good deed unwittingly endanger clan th century turkish warrior agree fight sultan enemy exchange new tribal land
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",,"September 21, 2021",1996,TV-PG,161 min,"Comedies, International Movies","Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.","Movie. Avvai Shanmughi. K.S. Ravikumar. Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam. nan. September 21, 2021. 161 min. 161 min. Comedies, International Movies. Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",movie avvai shanmughi k ravikumar kamal hassan meena gemini ganesan heera rajgopal nassar p balasubrahmanyam september min min comedy international movie newly divorce deny visitation right daughter doting father disguise gray haired nanny order spend time
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",,"September 21, 2021",2021,TV-Y,61 min,Children & Family Movies,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!","Movie. Go! Go! Cory Carson: Chrissy Takes the Wheel. Alex Woo, Stanley Moore. Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim. nan. September 21, 2021. 61 min. 61 min. Children & Family Movies. From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",movie go go cory carson chrissy take wheel alex woo stanley moore maisie benson paul killam kerry gudjohnsen ac lim september min min children family movie arcade game sle day hiccup cure cory carson curious little sister chrissy speed fun adventure town
s25,Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,"September 21, 2021",1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.","Movie. Jeans. S. Shankar. Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar. India. September 21, 2021. 166 min. 166 min. Comedies, International Movies, Romantic Movies. When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",movie jean shankar prashanth aishwarya rai bachchan sri lakshmi nassar india september min min comedy international movie romantic movie father man love insist twin son marry twin sister woman create alter ego might bit convincing
s26,TV Show,Love on the Spectrum,,Brooke Satchwell,Australia,"September 21, 2021",2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.","TV Show. Love on the Spectrum. nan. Brooke Satchwell. Australia. September 21, 2021. 2 Seasons. 2 Seasons. Docuseries, International TV Shows, Reality TV. Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",tv show love spectrum brooke satchwell australia september season season docuserie international tv show reality tv find love hard anyone young adult autism spectrum explore unpredictable world date even complicated
s27,Movie,Minsara Kanavu,Rajiv Menon,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",,"September 21, 2021",1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,"Movie. Minsara Kanavu. Rajiv Menon. Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad. nan. September 21, 2021. 147 min. 147 min. Comedies, International Movies, Music & Musicals. A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.",movie minsara kanavu rajiv menon arvind swamy kajol prabhu deva nassar p balasubrahmanyam girish karnad september min min comedy international movie music musical tangle love triangle ensue man fall woman study become nun fall friend enlist help pursue
s28,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,"September 20, 2021",2010,PG-13,103 min,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.","Movie. Grown Ups. Dennis Dugan. Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten. United States. September 20, 2021. 103 min. 103 min. Comedies. Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",movie grown dennis dugan adam sandler kevin james chris rock david spade rob schneider salma hayek maria bello maya rudolph colin quinn tim meadow joyce van patten united states september min min comedy mourn loss beloved junior high basketball coach five middle aged pal reunite lake house rediscover joy kid
